Date,Open,High,Low,Close,Volume,SMA_14,EMA_14,RSI_14,MACD,MACD_signal,MACD_hist
1984-09-26,0.000610802137473548,0.0006599031659337094,0.0006058908111153168,0.0005973752205566089,0.014633948117845427,0.0006598185365016459,0.0006435781454693135,0.27380282870481665,0.5434053837454637,0.5200834936119969,0.48886303290185934
1984-09-27,0.000594007496082015,0.0005882708233036576,0.0006058908111153168,0.0005973752205566089,0.013954631307576895,0.0006566830036010758,0.0006363362246232847,0.27380282870481665,0.5433469057175906,0.520044816542603,0.48878197319800115
1984-09-28,0.000594007496082015,0.0005798154479432504,0.0005456668147800518,0.0005633858561762893,0.031136757330922814,0.000651639317722431,0.0006253570758676484,0.19696494438727438,0.5432616886245428,0.5199951801672047,0.4886424410926992
1984-10-01,0.0005556672097399307,0.0005418457081325545,0.0005413077853629923,0.0005336998874021255,0.012855650853936227,0.0006424907953243423,0.0006117344202643293,0.14764330202612022,0.5431616090199795,0.5199335158451523,0.4884893032280963
1984-10-02,0.0005383173853264085,0.0005712264852455342,0.0005498916323513189,0.0005421630913223775,0.015615172910370683,0.0006371483228086987,0.0006010990998117669,0.1984054486934199,0.5430963762394111,0.5198698737777921,0.488464122895834
1984-10-03,0.0005597238795451057,0.0005669277853491823,0.0005714169279594379,0.0005633858561762893,0.015908039853117947,0.000627689815815587,0.000594818234364333,0.3174901331688742,0.5430743567256665,0.519814129536205,0.48856467673172055
1984-10-04,0.0005765171010312115,0.0005712264852455342,0.0005883033481741646,0.0005800349434625199,0.016590372236095257,0.0006179118007304411,0.000591678409312985,0.3996652317614532,0.5430810076269849,0.5197709932015897,0.4887251985569622
1984-10-05,0.0005765171010312115,0.0005624940919330233,0.0005498916323513189,0.0005507600285048422,0.012828481397894088,0.0006031108212216856,0.0005849067082508096,0.31143438283061164,0.5430554520639612,0.519730877816255,0.4887636607928884
1984-10-08,0.0005469887477696018,0.0005418457081325545,0.0005586111189710311,0.0005507600285048422,0.006008162692174678,0.0005924059919658694,0.0005790379006635908,0.31143438283061164,0.5430397559967888,0.5196953421427121,0.4888219689401104
1984-10-09,0.0005469887477696018,0.0005418457081325545,0.0005456668147800518,0.0005379976521340832,0.01656017846227434,0.000582959520161288,0.0005721857799989347,0.27383713105971763,0.543016791900914,0.5196618757960342,0.4888483152738957
