ticker,dqn_final,buy_hold_final,random_final
SPY.US,21203.88687416682,12688.198953380148,11744.608716935738
QQQ.US,170882.09552791942,22518.32201325379,26872.241488782354
AAPL.US,4834152883.401731,8934.081445578131,1306.889215644556
MSFT.US,128337337.17490654,115355.46230003965,82377.4961564843
TSLA.US,318959799.53164965,70047.85714286119,22252.993842830037
AMZN.US,9172433.314357819,249552.23880611273,107218.80063912661
NVDA.US,4116131741575.2285,400221.09090906166,223476.4537368083
